path,ext,format,width,height,mode,size_ok,mode_ok,ext_ok,pixel_min,pixel_max,status
outputs_aug_main\standardized\garpu\garpu_aug_0001.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0002.jpg,.jpg,JPEG,224,224,RGB,True,True,True,31,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0003.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0004.jpg,.jpg,JPEG,224,224,RGB,True,True,True,37,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0005.jpg,.jpg,JPEG,224,224,RGB,True,True,True,32,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0006_duplicate.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0007.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0008.jpg,.jpg,JPEG,224,224,RGB,True,True,True,35,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0009.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0010.jpg,.jpg,JPEG,224,224,RGB,True,True,True,28,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0011.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0012.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0013.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0014.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0015.jpg,.jpg,JPEG,224,224,RGB,True,True,True,37,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0016.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0017.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,249,ok
outputs_aug_main\standardized\garpu\garpu_aug_0018.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,250,ok
outputs_aug_main\standardized\garpu\garpu_aug_0019.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,246,ok
outputs_aug_main\standardized\garpu\garpu_aug_0020.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,240,ok
outputs_aug_main\standardized\garpu\garpu_aug_0021.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,242,ok
outputs_aug_main\standardized\garpu\garpu_aug_0022.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,248,ok
outputs_aug_main\standardized\garpu\garpu_aug_0023.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,250,ok
outputs_aug_main\standardized\garpu\garpu_aug_0024.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,253,ok
outputs_aug_main\standardized\garpu\garpu_aug_0025.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0026.jpg,.jpg,JPEG,224,224,RGB,True,True,True,47,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0027.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0028.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0029.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0030.jpg,.jpg,JPEG,224,224,RGB,True,True,True,57,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0031.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0032.jpg,.jpg,JPEG,224,224,RGB,True,True,True,46,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0033.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0034.jpg,.jpg,JPEG,224,224,RGB,True,True,True,51,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0035.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0036.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0037.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0038.jpg,.jpg,JPEG,224,224,RGB,True,True,True,54,255,ok
